id,dive_start,dive_end,max_depth
huey,2017-03-10T00:36:04Z,2017-03-10T00:37:32Z,21.2
huey,2017-03-10T00:39:08Z,2017-03-10T00:44:08Z,21.2
huey,2017-03-10T00:45:04Z,2017-03-10T00:48:00Z,20.5
huey,2017-03-10T00:48:48Z,2017-03-10T00:50:36Z,20.3
huey,2017-03-10T00:51:56Z,2017-03-10T00:56:16Z,20.2
huey,2017-03-10T00:57:12Z,2017-03-10T01:02:20Z,19.9
huey,2017-03-10T01:03:16Z,2017-03-10T01:07:16Z,19.1
huey,2017-03-10T01:08:52Z,2017-03-10T01:13:36Z,19.1
huey,2017-03-10T01:14:28Z,2017-03-10T01:19:12Z,18.6
huey,2017-03-10T01:20:04Z,2017-03-10T01:25:04Z,18
huey,2017-03-10T01:25:56Z,2017-03-10T01:30:32Z,16.9
huey,2017-03-10T01:31:24Z,2017-03-10T01:33:00Z,15.8
huey,2017-03-10T01:33:56Z,2017-03-10T01:36:48Z,15.5
huey,2017-03-10T01:38:12Z,2017-03-10T01:40:48Z,15
huey,2017-03-10T01:42:48Z,2017-03-10T01:46:08Z,14.4
huey,2017-03-10T01:47:56Z,2017-03-10T01:52:16Z,13.9
huey,2017-03-10T01:53:08Z,2017-03-10T01:56:16Z,13.4
huey,2017-03-10T01:57:36Z,2017-03-10T02:01:40Z,13.3
huey,2017-03-10T02:02:32Z,2017-03-10T02:06:48Z,12.7
huey,2017-03-10T02:07:32Z,2017-03-10T02:11:36Z,12.2
huey,2017-03-10T02:12:20Z,2017-03-10T02:15:52Z,11.6
huey,2017-03-10T02:16:36Z,2017-03-10T02:20:00Z,11
huey,2017-03-10T02:20:48Z,2017-03-10T02:24:36Z,10.1
huey,2017-03-10T02:25:20Z,2017-03-10T02:29:12Z,9.1
huey,2017-03-10T02:29:56Z,2017-03-10T02:33:28Z,8.1
huey,2017-03-10T02:34:12Z,2017-03-10T02:37:44Z,7.3
huey,2017-03-10T02:38:04Z,2017-03-10T02:39:00Z,6.5
huey,2017-03-10T02:39:44Z,2017-03-10T02:42:44Z,5.1
huey,2017-03-10T03:05:56Z,2017-03-10T03:06:12Z,1.7
huey,2017-03-10T03:06:20Z,2017-03-10T03:06:36Z,1.9
huey,2017-03-10T03:07:20Z,2017-03-10T03:09:28Z,3.9
huey,2017-03-10T03:10:16Z,2017-03-10T03:12:28Z,5.2
huey,2017-03-10T03:13:12Z,2017-03-10T03:15:20Z,2.8
huey,2017-03-10T03:18:40Z,2017-03-10T03:19:44Z,2.3
huey,2017-03-10T03:19:48Z,2017-03-10T03:20:28Z,1.6
huey,2017-03-10T03:21:12Z,2017-03-10T03:21:28Z,1.8
huey,2017-03-10T03:21:32Z,2017-03-10T03:21:44Z,1.6
huey,2017-03-10T03:21:48Z,2017-03-10T03:22:56Z,1.8
huey,2017-03-10T03:23:44Z,2017-03-10T03:25:40Z,2.4
huey,2017-03-10T03:36:20Z,2017-03-10T03:38:40Z,2.3
huey,2017-03-10T03:39:36Z,2017-03-10T03:41:12Z,2.5
huey,2017-03-10T03:41:52Z,2017-03-10T03:43:32Z,2.3
